id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,2385,2519,2739,2747,2762,2774,2859,2952,2963,3056,3241,3320,3604,3648,3713,3809,3947,4115,4163,4372,4669,5008,5036,6282
1,1218,1569,1743,2552,2577,3018,3320,4439,6123,6188,7057,7212,8017,8046,8288,8515,10985,15371,16373,16804,18769,23038,23570,24423
2,3243,3449,3645,3905,3981,4098,4135,4752,5306,5391,5810,5819,6355,6792,6809,6881,7248,9456,10738,11017,11867,11950,17843,21495
3,2604,2694,2766,3116,3221,3410,3482,3516,3523,3534,3652,3676,3681,3798,3912,3930,4031,4248,4338,4564,4569,4755,4978,6428
4,4172,8056,11289,13949,14320,15797,16204,17215,17606,18077,18169,18999,19315,21057,21304,21593,22430,23671,24046,24573,24573,24573,24573,24573
5,3978,4277,4664,4720,4873,5323,5469,5662,5777,5939,6426,6854,6969,7025,7067,7213,8003,8063,9283,9337,9674,10702,11481,22665
6,2593,3060,3190,3511,3535,3551,3568,4055,4132,4460,4891,4965,5298,5839,6404,6944,7346,8255,8571,8684,10434,12147,12669,24573
7,4271,6402,6834,7019,7383,8868,9669,11978,12224,12718,13563,13931,13946,14514,14619,14712,15798,17212,18216,19620,21726,21860,22433,24573
8,4745,5804,7561,7806,8183,8845,9484,9603,11402,11914,12189,12492,13177,15635,18436,19155,19202,20418,21219,21514,23308,24573,24573,24573
9,13150,18112,18709,18862,18905,20188,20485,21209,23310,24242,24460,24573,24573,24573,24573,24573,24573,24572,24573,24573,24573,24573,24573,24572
10,7358,8240,8617,9199,9327,10038,12816,12938,13623,15727,15778,17281,17305,17482,18152,18181,18348,18634,19083,20625,21112,23567,24399,24573
11,12650,13384,14429,14763,14995,15853,17056,17154,17276,17360,18677,19149,20310,20552,21278,21643,22315,22612,23555,24573,24573,24572,24574,24573
12,4209,4679,6321,7831,7976,8228,9153,9293,9419,9562,9624,10678,11751,12651,14450,14791,16253,18079,18724,19719,24573,24573,24573,24573
13,5806,7095,8436,8465,10415,10503,11716,12181,13574,15151,15680,17633,17707,17982,21140,21387,24573,24572,24573,24573,24573,24573,24576,24573
14,6378,6497,6748,6759,9431,9492,9792,10050,10096,11413,12976,13247,14151,14886,15165,15593,15631,16327,18589,20434,21977,24573,24573,24572
15,3527,4295,5205,5418,5703,6350,6634,6669,6727,9545,10531,10905,13288,14818,14929,15642,15871,16394,16507,18104,19514,19937,21696,23701
16,4138,4504,4510,5597,6266,6349,6624,7809,8481,8710,8979,9349,9478,9757,9759,10977,11608,11792,12021,12086,13312,13541,16007,20887
17,5303,5378,5897,5939,7929,8572,9371,13647,14624,14625,16063,16192,16587,17442,18680,18890,19089,20625,22063,22405,22537,23518,24573,24570
18,3145,3322,3351,3356,3512,3724,3795,3946,4001,4111,4205,4225,4330,4507,4544,4643,4714,4794,4916,5328,5337,5393,7012,10669
19,9796,11415,12962,13223,15406,15980,16259,16413,16863,16942,18961,19042,19166,19538,20275,20875,21625,21967,23863,24573,24573,24573,24573,24573
20,2789,2863,2979,3469,4049,4059,4156,4376,4526,5111,5672,7595,8309,9610,10319,10807,12410,16131,17127,18239,18908,19389,20550,21339
21,6221,7342,7675,8406,11339,12787,18706,20333,22496,22570,24573,24573,24573,24573,24572,24573,24573,24573,24573,24573,24573,24573,24573,24573
22,10067,10235,10870,12697,13093,14405,15915,16709,18266,18269,18512,18809,19491,19591,20832,23239,23637,24444,24573,24572,24573,24573,24573,24573
23,4451,5734,5876,6131,7868,8239,8363,8964,9144,9373,9679,9980,10352,11932,12056,12335,12803,13396,13492,14028,14389,16537,18231,19768
24,5029,5881,6048,11915,12358,12657,15478,15749,17631,19175,19232,19626,20363,20695,21149,23115,24533,24564,24572,24573,24573,24573,24573,24572
25,5950,7756,7766,10640,11034,11317,12447,12872,13384,16905,19459,20198,21468,22001,22697,23903,24573,24573,24573,24573,24573,24573,24573,24573
26,5016,5972,6558,8890,9716,12190,14804,14865,16073,16530,16770,20187,22229,22862,23593,24138,24508,24573,24573,24573,24573,24573,24573,24573
27,4796,4982,6364,6437,6735,6777,7361,7809,8082,8161,8373,8530,10378,10772,11087,12074,12992,15028,15211,16112,17599,17658,19635,20233
28,10164,10984,17395,19165,19661,19708,23326,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573
29,5975,7692,7870,7998,8041,8514,8793,9302,10101,10417,10703,11435,11852,11901,12652,13189,13451,13499,13729,16192,17343,18416,20249,21004
30,1384,1668,1940,1948,1967,2102,2125,2263,2296,2316,2320,2338,2354,2733,2904,3015,3783,3839,3843,4639,7678,8684,11765,15406
