id,answer,consensus,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,204,204,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,180.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,180.0,204.0,204.0,204.0,204.0
1,25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,100.0,25.0,100.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,125.0,25.0,25.0,100.0,25.0,15750.0
2,809,809,809.0,404.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,1214.0,404.0,809.0,809.0,809.0,506.0,809.0,809.0,675.0,809.0,809.0,2023.0
3,116,116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
4,104,184,106.0,184.0,115.0,187.0,107.0,184.0,123.0,193.0,104.0,104.0,100.0,184.0,,16816.0,,3.0,17.0,17.0,168.0,,,,184.0,
5,294,294,2450.0,294.0,294.0,294.0,294.0,147.0,2450.0,294.0,450.0,180.0,294.0,294.0,294.0,180.0,294.0,364.0,294.0,294.0,294.0,600.0,2450.0,180.0,294.0,2.0
6,540,540,540.0,540.0,540.0,540.0,,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,,540.0,540.0,540.0,,540.0,540.0,540.0,540.0,
7,197,35,254.0,596.0,254.0,254.0,1189.0,8603.0,67.0,9281.0,71.0,35.0,35.0,36.0,103.0,1157.0,290.0,35.0,35.0,67.0,2059.0,3301.0,511.0,35.0,34.0,
8,480,80,80.0,480.0,,160.0,2784.0,1920.0,480.0,960.0,80.0,40.0,,80.0,80.0,80.0,,,,480.0,480.0,144.0,80.0,,,
9,113,61,577.0,61.0,127.0,85.0,28.0,297.0,373.0,1186.0,107.0,,21.0,,,,,,,,,,,,,
10,371,17,141.0,73.0,241.0,9.0,191.0,17.0,141.0,65.0,9.0,17.0,127.0,131.0,130.0,9.0,135.0,159.0,133.0,17.0,255.0,17.0,129.0,17.0,,131.0
11,385,4,8.0,9.0,6.0,12.0,8.0,12.0,3.0,6.0,16.0,4.0,9.0,12.0,3.0,4.0,8.0,4.0,4.0,4.0,2.0,,,,,
12,110,155,22.0,155.0,37.0,155.0,155.0,110.0,155.0,155.0,110.0,155.0,155.0,1742.0,1032.0,17.0,110.0,155.0,47.0,257.0,110.0,110.0,,,,
13,104,43,82.0,534.0,68.0,12.0,43.0,3.0,584.0,39.0,4.0,115.0,144.0,249.0,65.0,51256.0,106.0,213452.0,,,,,,,,
14,721,721,721.0,673.0,721.0,721.0,673.0,721.0,721.0,721.0,721.0,721.0,673.0,721.0,721.0,673.0,721.0,721.0,505.0,721.0,749.0,721.0,39.0,,9.0,673.0
15,73,73,73.0,73.0,5.0,242.0,219.0,73.0,73.0,73.0,73.0,229.0,73.0,1.0,229.0,234.0,0.0,73.0,133.0,234.0,461.0,234.0,437.0,234.0,234.0,9.0
16,236,212,236.0,,302.0,284.0,212.0,212.0,,236.0,212.0,212.0,248.0,228.0,212.0,236.0,218.0,212.0,206.0,212.0,224.0,200.0,,212.0,172.0,265.0
17,45,0,10.0,,45.0,1000.0,0.0,17.0,45.0,100.0,10.0,1.0,1.0,729.0,0.0,100.0,0.0,9.0,1.0,91.0,0.0,0.0,0.0,2.0,,989.0
18,33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,19.0,33.0,47.0,33.0,33.0,33.0,33.0,33.0,33.0,15.0
19,80,20,10.0,70.0,370.0,100.0,130.0,120.0,40.0,20.0,200.0,130.0,100.0,20.0,20.0,100.0,100.0,20.0,20.0,240.0,20.0,,,,150.0,
20,55,55,55.0,55.0,49.0,54.0,55.0,2031.0,55.0,55.0,55.0,55.0,49.0,55.0,58.0,60.0,52.0,55.0,54.0,53.0,55.0,55.0,2036.0,54.0,2024.0,11.0
21,699,699,699.0,699.0,629.0,699.0,989.0,806.0,17.0,5624.0,17.0,1.0,,,,,,,,,,,,,,
22,127,7,155.0,242.0,6.0,7.0,7.0,94.0,2.0,242.0,7.0,,9.0,4.0,5.0,2.0,17.0,152.0,6.0,6.0,,,,,,
23,902,2,198.0,240.0,2.0,240.0,2.0,2.0,9.0,2.0,20.0,2880.0,2.0,1922.0,225.0,243.0,2.0,240.0,2.0,10.0,121.0,0.0,10.0,1024.0,12.0,1024.0
24,468,468,468.0,,78.0,468.0,450.0,384.0,,1450.0,384.0,,,78.0,624.0,338.0,,,,5077.0,,,26.0,,,
25,601,7,7.0,1.0,607.0,7.0,10.0,7.0,6.0,6.0,1.0,10.0,9.0,7.0,14.0,1.0,3.0,7.0,,,,,,,,
26,23,23,23.0,23.0,23.0,23.0,5.0,23.0,23.0,31.0,23.0,5.0,5.0,17.0,13.0,10.0,,,1.0,,,3.0,,,,
