id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,2446,2478,2525,2530,2669,2990,3061,3064,3108,3352,3487,3644,3676,3773,3833,4207,4209,4376,4550,4664,4738,5367,7550,10285
1,1450,1701,1792,1877,2266,2367,2733,4170,4709,6488,8903,8997,9645,9937,10651,11836,11994,12080,13946,16212,19095,19680,19728,20680
2,3320,3579,3629,4132,4724,4854,5571,5575,5796,5804,5865,5879,6314,6355,7118,7379,7762,10265,11510,11755,12668,13264,19023,24575
3,2997,3005,3114,3118,3174,3243,3297,3298,3420,3493,3617,3622,3781,3803,3946,3959,4003,4034,4182,4307,4746,5347,5519,6313
4,5116,8439,9892,12232,14431,14569,15822,17203,17974,17991,18058,18573,18773,19424,20083,20195,20526,20545,21824,22140,22199,23126,23668,24575
5,2589,3452,3547,3747,4002,5724,6248,6312,6343,6467,6610,6622,6628,6975,7829,7837,7914,8289,8713,8744,9127,9398,12608,14322
6,2601,3613,3778,3786,3840,3927,3996,4023,4128,4285,4521,4810,5293,5563,5753,5964,6281,7211,7265,7653,7944,9771,21091,24575
7,8011,8031,9971,10519,10764,10954,11402,11467,11786,12145,12957,13017,13057,13314,13705,13750,14127,14692,14797,15193,15544,16829,17491,24575
8,5997,7876,9270,9955,9981,10993,11189,12004,12917,12977,13405,16253,18082,19774,20026,20244,20354,20772,21425,21814,23413,23868,24127,24575
9,15343,16558,17669,18060,18799,18914,19049,19199,19236,19590,20053,20491,20571,20632,20788,21205,23844,24005,24459,24575,24575,24575,24575,24575
10,4494,7003,7672,8600,9654,10303,10581,10625,10828,11016,11309,11589,12975,13170,13283,13840,14897,14954,15305,16814,16935,17706,19259,21620
11,10016,10259,11218,11282,11502,11849,12752,12778,12954,13293,14105,14398,14506,14576,15209,15409,15581,15852,17379,17916,18272,19305,21493,22308
12,6445,8112,8460,8616,8799,9424,12323,14253,15612,16640,16712,22039,24575,24575,24575,24574,24575,24575,24575,24575,24575,24575,24575,24575
13,6889,9270,11761,14040,14056,15996,19412,19484,20322,20348,20761,20884,20993,21012,21051,21275,21679,21899,24276,24575,24574,24575,24575,24575
14,4386,5379,7759,8187,8375,8435,9127,10565,10574,12077,13971,15799,15913,17934,18416,18604,20788,21639,22507,22596,22723,23317,24495,24575
15,2873,3244,4330,4542,5000,6640,8380,9974,11474,12020,14559,14881,15145,15154,15621,16140,16517,16761,17122,17619,19848,20819,21054,22063
16,1850,3265,3576,3791,4383,4858,5041,5321,5428,6902,7231,7262,7845,8099,9231,9318,9695,11952,12045,12424,14382,20601,24575,24575
17,4477,5277,7511,7793,9393,9804,9883,10940,11091,12346,12409,12853,13429,15702,15993,16256,16376,16511,16555,16802,19000,19962,20638,22220
18,3124,3508,3600,3605,3650,3662,3750,3757,3834,3910,3911,4041,4076,4151,4191,4246,4312,4522,4902,4941,4997,5240,6168,7252
19,9242,12887,14134,14390,14921,15562,15773,16110,16451,16582,17251,17585,17999,18007,18427,18915,19563,20323,20417,20767,21237,21347,22656,24325
20,2662,4789,4982,5655,8045,8088,8418,9218,9406,10799,12701,12727,14815,16073,16402,16668,16862,17088,17720,18980,19307,23938,24575,24575
21,8556,11869,13610,14158,15826,23027,23330,23738,24293,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
22,2696,6635,8073,9529,9541,10264,11600,11942,12215,12225,12319,12818,13144,13220,13641,14701,15518,16617,16626,16862,18129,18997,22060,24575
23,4301,4602,5155,5353,5440,5445,5462,5465,5590,5723,5836,6187,7243,8177,8382,8406,8885,9374,9991,10887,10928,11567,14802,24575
24,7228,9267,10754,11005,13351,16065,16821,17334,19066,19078,19542,19793,20206,21002,21850,22432,22691,22765,22942,23502,23930,24108,24151,24575
25,5601,5748,8620,8948,9363,9793,10233,10824,11288,12131,12949,13670,15989,16250,18650,18819,19454,21148,24575,24575,24575,24575,24575,24575
26,9246,14257,14668,14846,15290,15388,17912,17977,18087,18268,19184,19436,19627,19995,20001,20646,21618,21660,21688,22083,22261,22590,23845,24575
27,4489,4511,4980,5066,5339,6056,6141,6187,6235,6512,6638,7210,7220,7563,7585,7590,9080,10012,10099,12387,14371,16139,16317,24575
28,11179,12970,13391,13607,15958,16853,17486,17944,18680,18847,19100,19945,20466,20902,20907,22555,24575,24575,24575,24574,24575,24575,24575,24575
29,5245,5709,5895,5947,6158,6172,6741,6748,7317,7396,7474,7940,8625,8797,9022,9026,9118,9156,9182,9248,9639,10092,10184,13034
30,1018,1402,1421,1534,1544,1585,1594,1746,1836,1857,1931,1960,2116,2194,2331,2876,3207,4169,4626,5702,9333,11147,12305,23712
31,3860,5946,6503,6622,8004,8169,8185,8501,8937,11636,12160,13156,13729,14274,15576,16104,16476,16790,16869,16947,17404,17908,19218,19271
32,3017,3422,3443,3449,3528,3673,3687,3698,3701,3719,4058,5113,5140,5267,5304,5642,5672,6010,6011,6742,6771,6791,8980,14411
33,3657,3673,3918,4099,4426,4612,4630,4675,5027,5290,5635,5928,6420,6982,7958,8351,9208,9483,9883,10516,12853,14266,14312,18014
34,3346,3919,4949,5278,5562,5602,5772,6073,6280,6635,7354,7434,7650,7779,7992,8011,8459,10014,11055,11161,11867,12677,14075,21126
35,2673,3099,3210,3423,3669,3851,3939,3983,3993,4262,4327,4336,4670,5130,5711,6329,6813,8700,11008,11641,12365,13363,14898,16809
36,4452,5280,5406,5413,5482,6626,6632,6716,6835,7438,8401,8430,8449,8786,8817,9312,10018,10307,10447,11423,12636,15874,16895,17011
37,2786,3144,3375,3375,3509,3819,3917,4755,6201,7856,8035,8803,9602,10206,12173,12777,13085,15530,17316,18431,21557,21755,22368,23027
38,4525,4664,5026,5309,9199,9653,10669,10966,12922,13879,18684,19126,19896,21034,23321,23449,23926,24575,24574,24575,24575,24575,24575,24575
39,4887,5381,5728,6187,6738,7219,7256,7324,7483,7536,7875,8075,8158,8324,8789,8826,8993,9837,11061,12033,12203,12255,12533,13289
40,9139,11642,12137,12369,14792,14966,15088,15281,15981,16789,17492,17699,18605,18616,19062,19350,19396,19646,19671,20209,20400,21107,23075,23411
41,11912,12909,14605,14893,15090,15334,15338,15550,16902,17339,17567,18400,18430,18526,18528,18671,18937,19213,19582,20329,20894,21075,21594,21739
42,4842,5028,5563,5854,5892,6716,6751,7814,8239,9924,10410,10482,10589,10872,11118,12193,13278,13316,13738,14824,15246,16088,16216,16511
43,9698,12162,13990,14433,14770,15392,15462,16283,16592,16751,16897,17063,17836,19115,19336,19895,19963,20250,20414,21661,21848,22004,22350,23653
44,5673,5774,6169,6973,6998,7783,7834,7951,8888,9378,10428,10906,11865,11889,12823,12842,13471,13764,14015,14272,15004,15061,16322,16858
45,3398,3486,3599,3709,3782,3796,3849,3943,3966,4043,4283,4350,4577,4605,4648,5042,5381,6393,6771,10625,13942,15884,17793,18840
46,1638,1873,1881,1945,2067,2377,2444,2475,2607,2695,2728,2825,2845,2991,3118,3150,3261,3695,3749,3964,4092,4351,4625,4752
47,7763,8747,9229,9441,9702,10041,10052,11114,11621,11792,12075,12134,12179,12487,12608,12771,13004,15268,16406,16584,16611,16939,17069,24575
48,3915,3994,4149,4158,4434,4649,4979,5119,5253,5376,5671,6370,6381,6503,7229,8159,9931,12700,13534,15102,15433,19391,19708,22147
49,5420,8527,10727,12477,12999,14412,14814,14823,14845,15698,17131,17285,17793,17868,17922,18134,18548,18966,19136,19877,20097,20501,20919,22522
50,9686,11607,12138,15323,16044,16299,17144,18311,18876,19233,19672,20136,20394,20912,20962,21014,21125,21893,22377,22828,22843,22916,24036,24575
51,4854,5578,6481,7252,7909,8480,8509,8632,9042,9819,10137,10236,11225,11778,12740,14822,15197,16752,17296,17504,18725,18970,20070,21013
52,6295,6940,7075,7719,8486,10100,10544,10738,11651,11680,11958,12016,12766,12820,13242,13828,14508,15152,15966,16174,16881,19350,22305,24575
53,4863,6112,6602,6762,7677,7720,7947,8204,8696,8757,8785,9769,10090,10410,10420,10618,10796,11577,12189,13820,14305,14593,15354,15636
54,3137,3704,3920,4133,4355,4385,4436,4481,4731,5035,5246,5826,6197,6341,6393,6893,7366,7532,7691,8618,9631,9739,9900,13464
55,4120,4158,4641,5010,6724,8163,8294,8987,8988,9645,9976,10330,10952,12034,13361,13891,14335,14759,15075,15353,16205,19908,20288,24575
56,13230,14910,16700,16732,17126,17721,18509,18844,19655,19878,19882,20334,20973,21154,21533,22368,22415,23151,23399,23702,24575,24575,24575,24575
57,5107,6037,9344,12636,12700,12762,14410,14938,17388,17483,17757,18334,19229,20902,21207,21984,24575,24575,24575,24575,24575,24575,24575,24575
58,11979,12394,12733,12841,13751,14029,14036,14412,14868,14987,15817,15933,16035,16641,16966,17078,17344,17442,17536,17811,19179,19877,21499,21514
59,11020,11644,14574,14998,15287,15934,16102,16628,16634,16775,18073,18873,19344,20178,20306,20423,20729,20940,22567,23226,24251,24574,24575,24575
