id,answer,consensus,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,204,204,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,180.0,204.0,204.0,144.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,,49.0
1,25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,100.0,25.0,25.0,25.0,25.0,100.0,100.0,25.0,25.0,25.0,100.0,100.0,25.0,100.0
2,809,809,809.0,506.0,675.0,1620.0,1518.0,506.0,1215.0,810.0,1518.0,1012.0,809.0,1350.0,809.0,809.0,1214.0,809.0,809.0,1620.0,1011.0,1348.0,1687.0,810.0,1347.0,
3,116,116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
4,104,107,184.0,108.0,199.0,107.0,,184.0,84.0,77.0,123.0,107.0,107.0,,180.0,45.0,80.0,20.0,120.0,85.0,,167.0,200.0,802.0,8737.0,
5,294,294,90.0,147.0,294.0,294.0,147.0,294.0,0.0,0.0,147.0,294.0,294.0,294.0,2730.0,294.0,294.0,2450.0,2450.0,294.0,1225.0,180.0,3640.0,1225.0,364.0,2450.0
6,540,540,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,,540.0,540.0,540.0,540.0,,,,,540.0,,99.0,
7,197,35,273.0,2025.0,2297.0,240.0,67.0,34.0,2059.0,2025.0,101.0,35.0,2025.0,35.0,2027.0,61.0,2025.0,307.0,35.0,253.0,36.0,35.0,35.0,36.0,937.0,
8,480,80,80.0,80.0,80.0,80.0,64.0,880.0,,,960.0,960.0,96.0,96.0,,8.0,8.0,20.0,,320.0,16.0,240.0,40.0,8.0,1700.0,
9,113,10,193.0,41.0,58.0,24.0,833.0,3143.0,2264.0,50.0,2215.0,,15.0,10.0,186.0,81.0,24.0,43.0,27.0,10.0,272.0,,,,12.0,
10,371,73,147.0,185.0,73.0,9.0,73.0,271.0,73.0,131.0,73.0,6817.0,73.0,65.0,73.0,128.0,289.0,9.0,9.0,3.0,143.0,33.0,81.0,16.0,39.0,257.0
11,385,4,16.0,8.0,16.0,8.0,24.0,8.0,12.0,6.0,12.0,8.0,4.0,4.0,12.0,4.0,4.0,4.0,8.0,6.0,12.0,2.0,,16.0,4.0,6.0
