id,answer,consensus,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,204,204,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
1,25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
2,809,809,809.0,809.0,809.0,809.0,809.0,809.0,809.0,808.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,404.0,809.0,809.0,809.0,809.0
3,116,116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
4,104,104,104.0,104.0,104.0,294.0,199.0,294.0,104.0,104.0,80.0,104.0,104.0,104.0,104.0,104.0,107.0,15.0,104.0,25.0,107.0,107.0,107.0,291.0,,
5,294,294,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0
6,540,540,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
7,197,197,197.0,254.0,157.0,19.0,197.0,2951.0,240.0,17.0,197.0,8603.0,287.0,273.0,35.0,2929.0,821.0,287.0,541.0,197.0,144.0,2025.0,19.0,36.0,545.0,1719.0
8,480,480,40.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0,480.0,480.0,480.0,480.0,,480.0,480.0,480.0,480.0,480.0,,480.0,480.0,480.0,480.0
9,113,113,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,8691.0,113.0,113.0,113.0,,
10,371,33,141.0,35.0,44.0,139.0,9.0,365.0,131.0,8.0,3.0,39.0,137.0,137.0,139.0,71.0,23.0,373.0,361.0,71.0,5.0,33.0,81.0,33.0,355.0,
11,385,24,24.0,36.0,16.0,16.0,8.0,24.0,16.0,72.0,12.0,32.0,16.0,16.0,24.0,12.0,8.0,72.0,12.0,64.0,36.0,24.0,24.0,16.0,24.0,24.0
12,110,110,155.0,110.0,110.0,155.0,155.0,110.0,110.0,155.0,110.0,110.0,110.0,110.0,155.0,905.0,155.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,134.0,155.0
13,104,104,104.0,104.0,104.0,104.0,104.0,104.0,236.0,236.0,236.0,1522.0,104.0,104.0,236.0,18.0,236.0,104.0,7.0,94.0,236.0,104.0,1216.0,28.0,,
14,721,721,721.0,721.0,673.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,673.0,721.0,721.0,721.0,721.0,721.0,721.0,673.0,721.0,721.0,721.0,721.0,55.0,
15,73,73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,5.0,73.0,73.0
16,236,236,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,220.0,201.0,252.0,201.0
17,45,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,36.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,90.0,45.0,45.0,45.0,45.0
18,33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
19,80,80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,120.0,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,160.0,80.0,80.0,80.0,80.0,,120.0
20,55,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,
21,699,699,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,629.0,629.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,629.0,699.0,699.0,9.0,
22,127,7,10.0,7.0,37.0,7.0,155.0,155.0,121.0,7.0,7.0,14.0,30.0,19.0,33.0,7.0,49.0,7.0,7.0,7.0,,,,,,
23,902,1024,252.0,1024.0,1024.0,36.0,900.0,1024.0,62.0,1024.0,1922.0,59048.0,961.0,0.0,50.0,1024.0,1022.0,1024.0,186.0,2.0,66.0,26.0,450.0,1023.0,1922.0,1922.0
