id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,1370,1426,1471,1508,1584,1873,2417,2455,2727,2729,2730,2749,2769,2961,2969,2975,3085,3222,3252,3548,3599,4163,4192,5578
1,1780,2391,2535,2721,2792,2839,2971,3379,3694,4218,4378,4669,5182,5349,6037,6580,7025,7504,7594,8163,8280,9039,9639,13590
2,3302,3338,3423,3648,3657,3666,3735,3786,3804,3837,3869,3884,4132,4312,4474,4537,4749,4777,4814,4822,5234,5565,6122,7506
3,2277,2280,2318,2345,2622,2645,2730,2780,2814,2828,2867,2903,2941,2977,2981,2998,3021,3023,3128,3141,3210,3511,3570,3725
4,4696,6237,6245,6921,6998,7561,10504,10701,11902,11969,12019,15573,17061,17121,17704,18278,20208,20369,21263,21836,22241,22388,22400,24575
5,2993,3135,3346,3361,3467,3599,3670,3706,3817,4058,4175,4207,4223,4318,4442,4513,4636,4642,5081,6283,6328,6592,7543,15225
6,3049,3062,3078,3080,3172,3274,3499,3704,3903,3934,4132,4184,4207,4422,4426,4524,4689,4747,5097,5341,5616,5929,10431,12352
7,11555,11860,11937,12421,13129,13727,14242,14330,14921,14967,15399,16061,16150,16764,17414,18133,18616,18971,19548,20120,22059,22750,22811,24575
8,4314,5398,5574,6135,6653,6688,6731,7260,7463,7612,7688,7696,8174,8442,8456,9080,10460,11794,11982,12727,13265,15901,17113,17735
9,8852,9136,9972,9990,10265,10463,10547,11005,11471,11913,12326,12684,12776,12962,16500,17774,18061,20215,21029,21324,21386,21561,24575,24575
10,9900,10383,12525,12732,13306,16535,16624,17587,17887,17888,18623,18642,19308,19517,19865,20063,20242,20839,21538,21660,21891,22063,22818,24575
11,10056,11731,11753,11882,12063,12548,12634,12671,12743,13031,13045,13327,13984,14048,14109,15143,16184,16534,16951,17123,17147,17179,17210,21955
12,5748,6229,6378,6406,6533,6626,7379,7483,7637,8031,8708,8922,9535,9753,10131,11753,11806,12149,12495,12982,15425,16915,17910,21533
13,5093,5403,5930,5957,6007,6190,8230,10149,10358,10935,11163,11855,11898,12268,13005,13520,13808,16391,16415,16482,20046,23186,24575,24575
14,6682,6807,7124,7325,9132,9592,9803,11005,12383,12820,14240,14414,14820,14860,15757,16050,16258,16328,16807,16871,17232,18133,19786,20749
15,2354,2469,2637,2691,3062,3091,3225,3764,4168,4310,4508,4728,4778,4983,5269,5447,5492,6060,7522,7982,9698,9705,10084,11807
