id,answer,consensus,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,204,204,204.0,204.0,,,,57.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
1,25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
2,809,809,809.0,809.0,809.0,809.0,809.0,809.0,809.0,808.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0
3,116,116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
4,104,104,104.0,104.0,104.0,199.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,77.0,291.0,107.0,108.0,294.0,25.0,85.0,90.0,24.0,108.0,,5.0,199.0
5,294,294,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0
6,540,540,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
7,197,254,254.0,197.0,144.0,2297.0,287.0,287.0,103.0,19.0,2929.0,197.0,36.0,2929.0,35.0,254.0,254.0,254.0,8603.0,11723.0,17.0,511.0,36.0,277.0,288.0,
8,480,480,480.0,80.0,80.0,80.0,480.0,120.0,480.0,480.0,480.0,80.0,80.0,480.0,480.0,480.0,480.0,1056.0,480.0,,480.0,480.0,480.0,,480.0,480.0
9,113,113,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,2311.0,113.0,113.0,113.0,113.0,91.0,269.0,113.0,2311.0,413.0,,
10,371,17,137.0,46.0,71.0,17.0,511.0,71.0,133.0,43.0,511.0,357.0,271.0,53.0,337.0,6.0,44.0,17.0,139.0,21.0,9.0,365.0,337.0,255.0,135.0,
11,385,16,16.0,16.0,16.0,16.0,12.0,16.0,24.0,24.0,24.0,16.0,16.0,16.0,16.0,12.0,24.0,12.0,1.0,12.0,12.0,16.0,24.0,24.0,24.0,16.0
12,110,110,110.0,155.0,110.0,155.0,110.0,110.0,110.0,155.0,110.0,155.0,155.0,110.0,155.0,110.0,110.0,134.0,155.0,110.0,110.0,110.0,110.0,110.0,155.0,110.0
13,104,104,94.0,94.0,104.0,104.0,104.0,104.0,94.0,24.0,236.0,104.0,104.0,425.0,104.0,526.0,104.0,104.0,104.0,104.0,47.0,1339.0,236.0,84.0,,271.0
14,721,721,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,587.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,89.0,29287.0,721.0,721.0
15,73,73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,0.0,73.0,73.0,73.0,73.0,73.0
16,236,236,246.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,219.0,236.0,222.0,248.0,114.0,212.0
17,45,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,90.0,45.0,45.0,90.0,9.0,45.0,90.0,,,,26.0
