id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,1637,1874,1936,2019,2027,2181,2275,2325,2353,2356,2369,2391,2430,2452,2460,2505,2617,2654,2722,2831,3015,3041,3327,4706
1,3810,4889,5350,5383,5475,5512,5761,6085,6518,6558,6762,7156,7722,8837,9524,9765,10361,10456,10596,11143,15639,16301,16807,19515
2,3144,4021,4325,4385,4843,4867,5123,5276,5398,5435,5576,6929,7080,7481,7669,7847,7863,9754,11802,13149,15711,15742,21428,24563
3,2065,2378,2407,2473,2482,2570,2590,2605,2650,2680,2740,2779,2815,2824,2829,2869,2917,2974,3329,3413,3690,3767,3778,4262
4,5217,5785,6626,7656,8113,8207,8691,9628,10663,12779,13140,14503,14517,15985,16219,18096,19135,20967,21041,22570,23126,23149,24563,24563
5,2914,3342,3442,3843,4010,4250,4295,4331,4661,4809,4967,5129,5144,5264,5266,5277,5300,5339,5991,6057,6605,6783,7021,8639
6,2969,3244,3327,3480,3539,3728,3841,3859,3979,4041,4083,4200,4328,4384,4512,4594,4906,4911,5101,5194,5304,5400,6484,19365
7,6248,6802,7180,9445,11147,11522,12844,13255,14309,14486,15264,15355,15665,17059,17105,17153,17421,17959,18469,18699,18896,19695,20043,20622
8,5560,6014,6471,6575,6921,7085,7182,7317,7644,7752,7856,8006,8136,8334,9720,9882,10259,10767,10836,11119,11657,15866,22078,24563
9,7314,7612,9005,9310,9340,11301,11376,11684,12476,13428,14627,15204,15670,16141,17481,17661,17748,17898,22211,24471,24563,24563,24563,24563
10,6288,8711,9584,10168,13760,13905,14953,15075,15195,15777,16495,16921,17214,17500,17794,18643,18951,19088,21773,22166,22685,23772,24563,24563
11,7031,8802,10323,10800,11812,12133,12255,12384,13134,13770,13819,14101,14304,14582,14746,14952,15035,15568,15608,15989,16329,16530,18806,24563
12,4743,4942,5096,5406,5579,5815,6894,7023,7023,7413,7508,7590,7921,8162,9553,10319,11085,11436,12305,12668,17479,17957,21901,23341
13,5205,5265,6145,6540,6911,8080,8765,9308,10118,10679,11225,11501,11567,13540,15265,16842,18111,18576,23012,23979,24363,24563,24563,24564
14,5277,5458,5699,5796,6142,6687,6796,7648,8041,8312,8605,8605,9623,9685,10329,10514,10846,10925,11517,12350,13449,14689,16657,19519
15,2702,3053,3403,3567,3700,4074,4079,4179,4240,4430,4433,4565,4637,5217,5754,5763,6082,6251,6559,6647,9237,9873,10110,12860
16,4898,5254,5285,5659,5820,5967,6629,6911,6922,7186,7302,7645,8654,11258,12320,13883,17333,18636,20432,23663,24563,24563,24563,24563
17,4155,4419,5524,6044,6584,7441,7967,8328,8598,9469,9492,10506,13643,14790,17405,20674,24563,24563,24563,24563,24563,24563,24563,24563
18,2229,2394,2412,2450,2561,2601,2640,2720,2772,2789,3012,3016,3040,3097,3200,3276,3293,3294,3486,3643,3942,4689,4796,5167
19,6192,8934,11654,11876,12966,13770,14326,14733,14761,15883,16323,16371,16490,17058,18895,19147,20751,21062,21097,22036,22358,24403,24563,24563
20,1971,2223,2425,2501,2511,2584,2642,2653,2661,2663,2694,2715,2850,2882,2921,2964,3098,3178,3207,3297,3360,3387,3505,12374
21,4956,5204,5393,5513,5793,5916,6012,6187,6551,6856,7007,9417,10136,11049,11157,11559,11763,12973,14228,16170,16218,16413,20316,23318
22,6297,7744,8904,9623,9758,10010,12111,13941,15811,17311,17628,18642,20015,20716,20959,21170,21532,21780,21828,22391,22513,23466,24206,24457
23,8145,8823,9030,9793,10261,11684,11859,12812,12976,13632,13738,13863,14369,14594,16245,17255,18986,20670,21537,22287,24563,24563,24563,24563
24,4126,4347,4539,4935,5782,6308,6556,6645,6825,6999,8071,8761,9188,9262,9768,10109,10340,13884,14038,14136,15031,15966,18886,23173
25,8162,8396,9635,10156,10287,10417,11117,11657,12297,12770,13841,14085,14250,14264,14996,18409,18610,20620,20710,22895,24563,24563,24563,24563
26,4451,4511,5250,5262,5411,5538,5623,5673,5702,5805,6379,6577,6647,7135,7242,7860,8057,9246,10485,10566,13483,14208,14513,15524
27,3348,4803,5008,5188,5272,5517,5525,6208,6227,6375,6682,6852,7003,7171,7467,10510,11869,12318,13393,13875,20629,21194,24565,24563
28,6076,7543,11958,14540,14629,15336,15510,17492,17510,17859,18177,18452,18733,18810,20499,20527,20749,20855,20881,20902,22566,24402,24563,24563
29,14275,14340,17406,17417,17846,18188,19419,19491,19802,19945,21297,22138,22181,22423,22924,23173,23803,24090,24159,24563,24563,24563,24563,24563
