id,answer,consensus,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,204,204,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0
1,25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
2,809,809,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,506.0,809.0,337.0,506.0,506.0,674.0,
3,116,116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
4,104,104,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,,,80.0,,,,291.0,107.0,80.0,105.0,68.0,291.0,,
5,294,294,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0
6,540,540,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
7,197,287,197.0,2929.0,197.0,15625.0,2929.0,241.0,287.0,287.0,254.0,241.0,287.0,287.0,8603.0,541.0,36.0,35.0,541.0,35.0,2297.0,2929.0,273.0,273.0,541.0,255.0
8,480,480,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,,480.0,480.0,480.0,80.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
9,113,113,113.0,113.0,113.0,113.0,33.0,113.0,38.0,113.0,113.0,113.0,113.0,113.0,89976.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,,,,
10,371,377,289.0,163.0,391.0,233.0,497.0,171.0,191.0,377.0,377.0,361.0,385.0,497.0,511.0,277.0,487.0,249.0,369.0,87.0,361.0,273.0,107.0,43.0,,
11,385,16,28.0,9.0,36.0,16.0,16.0,16.0,5.0,16.0,16.0,16.0,16.0,16.0,13.0,25.0,13.0,15.0,16.0,202.0,10.0,16.0,16.0,16.0,16.0,
12,110,110,134.0,155.0,134.0,179.0,110.0,155.0,110.0,110.0,110.0,155.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,24.0,110.0,110.0
13,104,104,34.0,104.0,29.0,104.0,104.0,47.0,104.0,87.0,104.0,104.0,176.0,104.0,2251.0,104.0,3320.0,57.0,1034.0,104.0,1114.0,225.0,104.0,,,28.0
14,721,721,721.0,721.0,721.0,721.0,721.0,721.0,721.0,31.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0
15,73,73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,229.0
16,236,236,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,220.0,236.0,236.0,246.0,236.0,370.0,,,,
17,45,45,45.0,45.0,45.0,45.0,45.0,162.0,45.0,99.0,162.0,45.0,45.0,45.0,45.0,45.0,90.0,54.0,,,,,,,,
18,33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
19,80,80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,120.0,,60.0,,
20,55,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
21,699,699,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,629.0,699.0,699.0,699.0
22,127,127,127.0,55.0,127.0,127.0,127.0,55.0,127.0,7.0,1.0,161.0,7.0,7.0,127.0,56.0,127.0,7.0,13.0,1.0,29.0,11.0,131.0,13.0,61.0,127.0
23,902,1022,900.0,1022.0,1022.0,1022.0,1022.0,1024.0,32402.0,2.0,66.0,2.0,1022.0,34322.0,252.0,1022.0,902.0,1022.0,902.0,59048.0,1022.0,35702.0,,,,
