id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,403,506,507,610,642,733,762,779,806,809,815,859,905,924,1006,1042,1126,1147,1165,1182,1510,1828,2855,3031
1,1975,2176,2379,2450,3984,4417,4519,4605,4671,4787,5767,6113,6119,6298,6577,7296,7797,8853,9704,10309,10610,12362,12950,13203
2,3455,3463,3639,3724,3741,3783,3840,3862,3878,3939,4019,4084,4100,4104,4222,4240,4626,4654,4756,4892,5032,5170,6895,7942
3,1783,1792,1845,1953,2164,2258,2274,2299,2299,2311,2362,2431,2547,2599,2644,2811,2844,2868,2883,2985,3177,3245,3281,3386
4,4532,4536,4777,6598,7329,7703,7777,8169,9289,9462,13015,13639,15029,17588,18388,19124,22818,22962,24575,24575,24575,24575,24575,24575
5,2420,2833,3081,3333,3639,3797,3811,3968,4185,4270,4338,4656,4737,5165,5325,5416,5661,5747,5852,5879,6094,7261,8307,9443
6,2888,3039,3114,3138,3315,3467,3496,3623,3631,3755,3906,3959,4009,4037,4201,4349,4353,4527,4752,4852,5028,6574,6810,7140
7,7226,10594,12664,13423,13758,14148,14272,14570,14729,15908,17104,17361,17983,19189,19335,19655,19740,22191,22546,23152,24575,24575,24575,24575
8,4740,5612,5671,5682,5729,6373,6435,7032,7378,8235,8295,8416,9054,10077,11500,12048,12080,12400,12963,14244,14574,15518,18878,22423
9,7937,8419,8859,8926,9552,10263,10767,11048,11089,11353,11644,11868,13459,13488,14074,17526,17679,20992,21531,24575,24575,24575,24575,24575
10,5017,10118,11704,12462,13954,14335,14691,15340,15451,16815,17048,18492,18684,18718,18938,19682,20239,20669,21365,21794,22873,23480,23768,24575
11,8361,9088,9973,10245,10645,11437,11666,12409,12536,12912,13319,13398,13615,13840,14010,14256,14641,15765,15874,16903,18147,18856,20681,24575
12,4822,6702,6799,7007,7199,7257,7332,8062,8088,8678,9925,9984,10359,11538,11692,13883,15185,16132,16565,18565,21349,24575,24575,24387
13,4595,5040,5122,5581,5843,6358,6492,6774,7624,7772,8490,8921,9728,10591,14252,15084,15215,15302,15979,16480,17187,18598,23144,24575
14,5028,5466,5836,7225,7362,8152,8469,9150,10322,10341,10541,12017,12307,13710,13828,15100,17669,18462,18703,21196,21609,24361,24575,24575
