id,answer,consensus,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,204,204,100.0,56.0,52.0,125.0,330.0,180.0,144.0,214.0,45.0,183.0,180.0,30.0,214.0,204.0,180.0,204.0,183.0,204.0,,,165.0,204.0,204.0,204.0
1,25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
2,809,809,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0
3,116,116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
4,104,104,104.0,104.0,104.0,104.0,,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,294.0,104.0,,,,,,107.0
5,294,294,2450.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0
6,540,540,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
7,197,287,2929.0,19.0,239.0,2929.0,197.0,19.0,254.0,8603.0,157.0,197.0,9249.0,287.0,287.0,53.0,254.0,4305.0,117.0,36.0,803.0,287.0,,,,
8,480,480,80.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,,480.0,480.0,480.0,80.0,480.0,480.0,480.0
9,113,113,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,191.0,113.0,113.0,113.0,,,,,
10,371,139,17.0,9.0,17.0,17.0,139.0,35.0,139.0,69.0,139.0,141.0,9.0,301.0,139.0,35.0,163.0,73.0,31.0,139.0,39.0,9.0,9.0,17.0,135.0,
11,385,24,25.0,16.0,24.0,24.0,36.0,12.0,12.0,16.0,24.0,24.0,144.0,16.0,36.0,72.0,24.0,24.0,24.0,76.0,32.0,16.0,72.0,100.0,12.0,
12,110,110,110.0,110.0,110.0,155.0,155.0,155.0,179.0,155.0,110.0,110.0,134.0,110.0,155.0,110.0,134.0,110.0,110.0,5593.0,110.0,134.0,155.0,,,
13,104,104,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,4.0,236.0,74.0,104.0,236.0,104.0,236.0,104.0,1542.0,236.0,104.0,25978.0,7.0,104.0,
14,721,721,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,211.0,721.0,,
15,73,73,229.0,73.0,100.0,0.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,151.0,73.0,73.0,73.0,73.0,151.0,73.0,73.0,73.0,73.0,73.0,73.0,44.0
16,236,236,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,236.0,246.0,236.0,236.0,236.0,236.0,236.0,283.0,212.0,126.0,236.0
17,45,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,36.0,8.0,,,
18,33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
19,80,80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,160.0,80.0,80.0,80.0,80.0,80.0,80.0,120.0,100.0,60.0,
