id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,1406,1454,1498,1754,2902,2910,2987,2992,3010,3238,3412,3438,3460,3462,3486,3489,3548,3575,3589,3625,3712,3918,4142,4256
1,1347,2580,2884,3131,3415,3471,3767,4265,4812,4850,4948,5060,5470,5517,5824,5857,7068,7075,8403,8548,8574,8612,9691,18544
2,3164,3595,3615,3627,3693,3832,3835,3950,4043,4231,4363,4520,4527,4559,4606,4716,4787,4997,5025,5297,5371,5390,6649,10365
3,2075,2242,2313,2457,2562,2563,2565,2581,2606,2641,2651,2659,2748,2845,2863,2898,2919,2943,2953,3012,3105,3642,3704,3721
4,4608,7888,8583,10120,12120,12471,13842,14006,14222,14558,15587,16646,18052,18717,18966,19237,19620,20155,20579,23574,23606,24575,24575,24575
5,2476,2636,2776,3080,3383,3393,3486,3516,3531,3777,3881,3967,4103,4297,4303,4465,5258,5536,5551,5601,6377,6539,6926,7888
6,3287,3334,3530,3605,3709,3714,3735,3798,3905,3987,4047,4130,4307,4464,4489,4499,4612,4730,4852,4939,5417,6177,6536,6992
7,7557,10053,10126,10594,11544,11733,12869,13094,13683,13872,14993,15038,15371,15541,15672,16037,16655,18206,19028,19406,19693,20054,20243,23636
8,4969,5293,5808,6421,7462,7557,7626,7817,7896,8284,8347,8569,9301,9788,9829,9888,10188,10600,11643,12125,12942,15384,15423,17286
9,9201,9253,9294,9761,11006,11371,11544,11615,11831,12089,12287,12584,13418,13596,16869,18936,20460,20569,24575,24575,24575,24575,24575,24575
10,10998,11003,11950,14275,14877,15539,15570,15633,15996,16279,16582,16792,16894,17273,17474,17543,17611,18588,19289,19711,21910,22341,22850,24575
11,7945,10732,11077,11298,11518,11654,12304,12599,12679,12849,12926,13155,13455,13559,13847,13934,14063,14281,15209,15251,15336,16678,17046,18220
12,5497,6504,6791,6824,6951,7260,7702,8461,8880,8915,8980,9316,10163,10648,10909,12536,12795,14107,14442,17289,18536,20938,21671,24575
13,5303,5504,5684,6557,6629,7196,7285,7346,7442,7705,7960,8891,10776,10903,11306,11323,11847,12693,14422,15419,15486,16518,19450,21924
14,5648,7477,7525,7890,8610,10516,10991,11034,11310,11565,11634,13173,13177,14394,14991,16133,16207,16656,19190,19248,19506,21053,24341,24575
15,1130,1234,2169,2170,2328,2528,2585,2630,2804,2911,3205,3243,3459,3970,3974,4037,4553,4623,4968,6100,6657,7059,14128,14945
16,4227,4961,5210,5304,6269,6568,6770,7015,7629,7660,7895,8224,8452,10510,11605,12369,12879,13562,13936,14047,19663,21464,22346,24232
17,4479,4578,4782,5557,5596,6076,6156,6935,7258,7447,7542,8192,8300,9157,11011,12539,12980,13168,20858,23642,24339,24575,24575,24575
18,2654,2762,2906,3026,3156,3164,3249,3320,3323,3363,3399,3421,3571,3623,3717,3789,3813,3821,3823,4426,4662,4683,4706,6227
19,7306,7991,8304,9348,9806,9925,10141,10159,10381,11523,11641,11703,13573,13766,13949,14871,15062,17146,17259,17895,18084,18386,19200,19436
20,2434,2564,2636,2699,2716,2781,2942,3056,3120,3123,3147,3150,3276,3371,3444,3494,3543,3576,3764,3851,4657,4850,4890,5263
21,4385,5108,5551,6118,6197,7551,7619,7651,7674,7912,8596,9716,10499,10578,10874,11811,15685,16194,17503,17689,19914,22616,24364,24508
22,10206,10577,12904,13591,17359,18653,19694,20185,21381,21426,21898,22523,22583,22651,22933,23630,24064,24541,24575,24575,24575,24575,24575,24575
23,10246,11129,11962,12674,12822,12832,14053,14998,15285,15414,15819,16009,16191,16681,17062,17711,18250,18303,18425,19199,19578,20018,22766,24575
24,4854,5051,5469,5597,5610,5732,5840,5887,6521,6750,7158,7529,7707,7750,8216,8259,8517,8991,9690,10205,10422,10892,10988,22298
25,6633,7798,8553,8770,9221,10134,10660,11467,11719,11758,11988,13658,14767,14994,15362,15534,16178,16413,16440,16473,21264,24575,24575,24575
26,4388,4590,4656,4757,4771,5195,5279,5536,5987,6003,6135,7006,7220,7482,8428,9029,11288,11362,12030,15212,16700,16709,19110,24575
27,4239,4366,4441,4566,4691,4738,4876,4957,5025,5085,5270,5276,5279,5776,5783,5804,5982,6455,6533,6650,6670,7165,7430,9599
28,10878,12174,12337,13297,13543,14396,15627,15808,16505,18577,18672,19649,19837,20521,21582,22386,23497,23545,24508,24575,24575,24575,24575,24575
29,10358,11269,11539,12812,14139,14342,14567,14662,15678,16381,16406,16763,16810,17390,18005,18241,18528,18691,19055,19378,20687,20966,21584,23724
30,1973,1974,1984,2017,2028,2031,2095,2153,2168,2189,2241,2343,2349,2433,2470,2634,2654,2806,2820,3045,3592,3884,4061,4215
31,5632,6043,6062,6874,8075,8145,8399,9078,9124,9731,10987,11077,11173,12292,12875,12965,13190,13214,14209,14976,15286,15883,16580,20314
32,2872,2897,3077,3119,3129,3134,3361,3361,3364,3561,3691,3746,3754,3985,3993,4375,4772,4822,4886,5060,5079,5352,5476,6687
33,3618,4154,4416,4584,4694,4902,4915,5039,5089,5544,5698,5731,6014,6093,6137,7286,7692,8230,8639,10860,11024,12456,13387,13598
34,4025,5721,6062,6603,6683,6772,7000,7183,7480,7641,8002,8313,8430,8529,8776,9527,9554,10603,10704,11279,11711,14338,15007,17866
35,2839,2950,3017,3038,3131,3184,3203,3209,3244,3245,3369,3407,3482,3486,3550,3598,3843,3848,3874,4204,4327,4563,4671,6788
36,2665,5018,8936,9419,9575,9640,9767,9820,10646,11288,11832,12385,13066,13082,13110,13564,14442,15259,15793,18641,20342,21686,21867,22077
37,2376,2478,2642,3031,3217,3299,3385,3531,3690,3838,3933,4093,4134,4513,4799,7545,7842,8498,9458,9646,10073,11876,12003,24575
38,11615,12352,12587,15807,15996,19378,20251,21210,22799,24545,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
39,10799,12487,13698,14198,14444,14518,14585,15150,15167,15787,16157,16174,16486,16789,17173,17339,17448,18300,18583,19050,19098,19737,19985,20010
40,11916,14262,14478,15518,17853,21244,21479,22159,22266,23306,23615,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
41,9568,10331,10903,11038,11284,11623,11625,11806,13157,13411,13835,13876,14856,15637,16218,18290,19462,21307,21397,22808,22912,24346,24575,24575
42,10421,10782,11700,13154,13431,13883,14387,15010,15815,16228,16292,16960,17062,17144,17276,17662,18050,18566,19466,19793,20322,21276,21375,24575
43,10804,12031,13521,15676,16811,17291,17866,18068,18637,19338,19563,19656,19785,19908,20234,20417,20606,23261,24037,24049,24575,24575,24575,24575
44,9718,9964,11399,11862,12233,12526,13203,13347,13477,13522,15783,15956,17192,17656,17797,18452,18466,18906,20586,20896,20921,22060,22771,24575
45,3022,3036,3114,3131,3356,3370,3465,3474,3645,3646,3684,3708,3795,3926,4219,4268,4296,4768,4783,4846,4994,5016,5317,8343
46,1777,1929,1970,2155,2181,2280,2345,2439,2520,2606,2619,2676,2791,2809,2886,3108,3358,3490,3552,3580,3882,4084,4871,6077
47,7962,11366,12489,13337,13992,14282,14737,15234,15383,15804,17031,17060,17188,17617,17707,17737,18266,18767,19498,20454,22753,23149,24180,24575
48,3158,3209,3271,3345,3403,3455,3649,3713,3869,3869,3910,3946,4029,4208,4223,4415,4571,4640,4675,4839,5392,5542,5558,6194
49,12137,14083,14434,15248,15274,15534,15645,16311,17087,17371,18493,18580,18733,19477,19493,20169,20573,20692,20987,22459,23071,23273,23689,24575
50,7074,7213,8171,8877,9475,9623,10149,12287,13431,13488,13705,13717,16727,18721,19163,20843,21764,22419,24575,24575,24575,24575,24575,24575
51,4703,5344,5503,5593,5781,6154,6331,6538,6668,7139,7351,7840,8115,8531,8671,9078,9096,9150,9483,10201,12485,12801,13526,14128
52,4632,8258,8826,9048,9875,10587,11459,11571,12282,13279,13536,13871,14403,14510,14649,14665,14789,15995,16606,17640,18648,20646,23497,24575
53,5087,5273,5514,5623,5793,5822,5892,6063,6232,6298,6334,6654,6895,7196,7310,7453,7507,7635,8083,8331,8354,9052,9579,11131
54,5679,6282,7093,9671,10665,10793,11148,11664,12565,12569,14155,14875,16400,16712,16927,17902,17965,18235,18611,18917,19598,19880,21197,24575
55,6757,7599,7760,7770,8682,9541,10569,10923,11352,11375,11941,12263,12288,12414,13313,13669,14442,14595,14605,14933,16813,17071,17181,17690
56,4877,5381,6054,6227,6326,6399,8420,8527,8766,8912,9176,9625,9638,10508,10735,12683,13958,14281,15644,16035,18320,24575,24575,24575
57,16095,17812,20765,21033,21492,21591,21887,22186,22586,22693,22964,23194,23588,24304,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
58,10329,10539,11214,11370,11530,11892,12813,12843,13432,14975,15145,16229,16310,16901,17145,18296,18583,19062,20215,20243,20716,21161,22874,24575
59,12921,13978,18514,19442,19458,20329,20679,21092,21353,22063,22421,22937,23087,23218,24575,24575,24575,24575,24575,24575,24575,24575,24575,24575
