id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,1272,1289,1312,1365,1379,1430,1462,1464,1464,1479,1490,1518,1531,1575,1580,1651,1754,1930,2004,2084,2294,2334,2440,2513
1,1453,2246,2665,2835,3558,4538,5045,5374,5515,5671,5851,5946,6011,6262,6566,6914,7627,8084,8143,8681,9465,10359,11066,11569
2,3346,3655,3663,3668,3699,3847,3890,4216,4218,4241,4256,4340,4426,4572,4610,4725,4775,4813,4944,5253,5349,5513,6204,13952
3,2328,2538,2575,2694,2706,2728,2755,2816,2817,2831,2881,2891,2891,2891,2895,2942,2955,3022,3049,3093,3240,3258,3348,3429
4,5755,6353,6828,7091,7134,7413,7865,11838,12298,15005,15010,15467,15505,16578,16807,16829,17194,18257,18839,21426,21504,21529,23390,24470
5,2231,2847,3002,3029,3552,3608,3676,3852,3926,3954,3965,4059,4168,4217,4256,4383,4407,4464,5211,5297,5310,5982,6717,6888
6,2880,3006,3136,3136,3216,3284,3305,3504,3583,3609,3720,3840,4029,4052,4294,4782,4806,5126,5428,5903,5996,6637,8067,11421
7,3727,9119,10107,11316,12519,13266,13525,13604,13801,14216,14419,15133,15141,16715,17397,17479,18612,18642,18644,19282,20734,21028,23396,24573
8,4715,5472,6674,6792,7453,7563,7604,7650,7780,8135,8184,8448,8730,8730,8743,8860,9033,10219,10389,10714,10993,14795,15812,17426
9,8685,8704,9560,9981,10016,10975,11077,12003,13119,15112,15912,16314,17978,19928,21731,22729,24573,24573,24573,24573,24573,24573,24573,24573
10,8670,10080,11109,12595,13050,13300,13370,13627,15946,16381,16388,16662,16729,16838,16856,17183,17459,17960,18079,18275,18962,19489,19650,24520
11,8873,9029,9190,9345,10260,10809,11007,11079,11112,11327,11505,11531,11682,11708,11755,12086,12285,12798,12928,13283,13477,13634,16240,16544
12,5092,5333,5421,6190,6368,6480,6699,6772,6860,6949,7061,7139,7913,8328,8768,8798,8925,9960,10497,13573,15766,19424,23029,23738
13,4950,5302,5319,5341,5433,5791,5856,6097,6332,6796,7430,7912,8293,8688,10426,12441,12721,14270,14448,14560,14850,14973,21233,24573
14,4136,4322,5024,5604,6327,8364,9399,9993,10148,12128,13098,13548,14084,14578,15497,16986,17547,17585,17803,18781,19006,20303,22482,24573
15,706,711,758,826,864,865,912,946,997,1037,1111,1179,1185,1208,1251,1313,1316,1370,1462,1544,1867,2550,3756,5448
16,4674,5587,5721,6178,6304,6333,6391,6715,7029,7135,7137,7659,7950,8450,10384,10992,13256,14917,15421,17557,19594,19836,22030,24573
17,3981,4029,4134,4256,4778,4975,5130,5909,6042,6414,6558,7034,7079,7090,7179,7467,7587,7839,7954,8169,9418,15241,24177,24568
18,2802,2909,2974,2974,3006,3108,3114,3124,3252,3269,3294,3388,3401,3571,3610,3632,3758,3948,4015,4025,4085,4399,5136,5772
19,2471,5335,7152,7791,8684,8976,9243,9833,11165,11719,12313,12988,13161,13274,13978,14117,15200,15786,15935,16038,16458,17457,19542,23274
20,2233,2498,2604,2654,2727,2762,2811,2888,2945,2984,2987,3005,3153,3278,3334,3926,3993,3997,4113,4438,4686,4744,5214,24573
21,942,1602,3714,5547,6486,6952,7381,7453,8288,8296,8552,8778,9150,9334,9892,10979,11123,11311,11333,11544,11993,12520,16536,24573
22,8903,15125,16039,16297,17304,18368,18777,19772,19855,20375,20835,21614,21688,22430,22940,23114,23204,24465,24573,24573,24573,24573,24573,24573
23,5383,10023,10404,10884,11625,12902,13006,13016,13112,13160,13420,13561,13570,14524,15213,15924,16298,16391,16445,17357,17514,17610,19963,21125
24,3854,4046,4330,4972,5026,5118,5404,5460,5477,5570,5762,5778,6223,6579,6596,6655,6711,6742,6789,6907,7989,9306,9467,9856
25,7664,7769,7958,8600,8817,10464,11018,12091,12165,12695,13025,13253,13317,14307,14404,14547,15507,16103,16752,16754,17338,17716,18317,21417
26,4586,4784,4928,5151,5723,6414,7146,7466,7703,8569,8861,9031,9095,9380,9415,9801,10472,10472,13888,14509,20222,21718,22243,24573
27,4005,4207,4254,4277,4372,4408,4571,4743,5237,5327,5330,5393,5701,6179,6574,7254,7533,7917,8327,9239,9460,9677,14149,19978
