id,answer,consensus,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,204,204,,300.0,27.0,,260.0,204.0,168.0,27.0,204.0,,214.0,204.0,204.0,204.0,1055.0,204.0,235.0,204.0,,108.0,214.0,33.0,204.0,204.0
1,25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
2,809,809,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,404.0,809.0,809.0,809.0,809.0,809.0,810.0
3,116,116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
4,104,104,104.0,104.0,104.0,104.0,104.0,104.0,104.0,108.0,294.0,77.0,104.0,107.0,107.0,107.0,107.0,107.0,107.0,291.0,184.0,90.0,107.0,77.0,,168.0
5,294,294,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0
6,540,540,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
7,197,197,197.0,197.0,273.0,17.0,2929.0,8603.0,597.0,287.0,287.0,35.0,273.0,197.0,4048.0,4882.0,143.0,287.0,19.0,8603.0,36.0,254.0,35.0,241.0,541.0,
8,480,480,480.0,480.0,480.0,480.0,480.0,80.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,960.0,480.0,480.0
9,113,113,113.0,113.0,113.0,113.0,113.0,113.0,113.0,191.0,191.0,113.0,3268.0,113.0,113.0,86.0,33.0,6.0,,,,241.0,,,,
10,371,17,9.0,289.0,43.0,69.0,13.0,35.0,139.0,71.0,33.0,133.0,133.0,135.0,69.0,39.0,17.0,17.0,9.0,165.0,141.0,139.0,135.0,511.0,17.0,137.0
11,385,16,16.0,7.0,24.0,12.0,16.0,12.0,16.0,16.0,16.0,12.0,24.0,24.0,7.0,16.0,24.0,24.0,24.0,16.0,16.0,24.0,16.0,24.0,4.0,16.0
12,110,110,110.0,110.0,155.0,110.0,155.0,110.0,110.0,110.0,110.0,134.0,155.0,155.0,110.0,110.0,155.0,110.0,110.0,110.0,179.0,17.0,155.0,110.0,155.0,110.0
13,104,104,104.0,94.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,94.0,104.0,236.0,104.0,236.0,104.0,115.0,104.0,104.0,104.0,104.0,236.0,104.0,236.0,
14,721,721,721.0,673.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,673.0,721.0,721.0,721.0,721.0,673.0,721.0,721.0,367.0,721.0,721.0,429410393.0
15,73,73,73.0,0.0,0.0,0.0,130.0,229.0,,234.0,453.0,21.0,0.0,159.0,,219.0,687.0,73.0,1.0,229.0,279.0,15.0,73.0,73.0,73.0,73.0
16,236,236,236.0,236.0,236.0,236.0,236.0,236.0,236.0,208.0,236.0,236.0,254.0,236.0,201.0,236.0,236.0,236.0,220.0,236.0,208.0,236.0,246.0,236.0,216.0,
17,45,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,9.0
18,33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
19,80,80,80.0,80.0,80.0,160.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,40.0,80.0,80.0,80.0,80.0,40.0,80.0,80.0,80.0,,80.0,60.0,80.0
20,55,55,55.0,55.0,50.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,
21,699,699,105.0,112.0,951.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,629.0,699.0,699.0,699.0,629.0,699.0,699.0,699.0,699.0,
22,127,7,127.0,7.0,127.0,127.0,29.0,4.0,7.0,9.0,71.0,7.0,7.0,4.0,7.0,67.0,7.0,7.0,127.0,5.0,,,,91.0,,
