id,answer,consensus,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11
0,204,204,180.0,204.0,204.0,204.0,27.0,,204.0,204.0,,204.0,204.0,204.0
1,25,25,25.0,25.0,125.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
2,809,809,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0
3,116,116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
4,104,104,104.0,80.0,104.0,104.0,77.0,83.0,,,104.0,104.0,,
5,294,294,180.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0
6,540,540,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
7,197,197,197.0,273.0,197.0,22859.0,197.0,197.0,197.0,197.0,254.0,22859.0,17.0,8605.0
8,480,480,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0,480.0
9,113,113,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,669.0,,,
10,371,419,139.0,353.0,35.0,69.0,99.0,113.0,3.0,5.0,419.0,319.0,503.0,359.0
11,385,24,6.0,12.0,16.0,16.0,144.0,16.0,12.0,32.0,24.0,24.0,24.0,24.0
12,110,110,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,155.0,110.0
13,104,104,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,425.0,236.0
14,721,721,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0
15,73,73,229.0,111.0,113.0,,98.0,112.0,104.0,73.0,73.0,73.0,73.0,73.0
16,236,236,279.0,288.0,,249.0,264.0,282.0,236.0,236.0,236.0,236.0,246.0,
17,45,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,
18,33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
19,80,80,120.0,80.0,80.0,160.0,40.0,80.0,60.0,80.0,120.0,40.0,80.0,80.0
20,55,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
21,699,699,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0
22,127,127,,127.0,7.0,127.0,155.0,7.0,391.0,127.0,20.0,26.0,29.0,
23,902,1024,34.0,1024.0,2.0,902.0,1024.0,62.0,18.0,96.0,902.0,32.0,14043.0,72.0
24,468,468,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,832.0
25,601,601,301.0,6.0,7.0,601.0,601.0,7.0,601.0,301.0,601.0,601.0,601.0,601.0
26,23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
27,321,321,321.0,321.0,321.0,65.0,321.0,321.0,321.0,65.0,321.0,321.0,321.0,321.0
28,211,211,211.0,211.0,211.0,211.0,211.0,211.0,211.0,61.0,211.0,211.0,127.0,
29,315,12,12.0,3.0,4401.0,12.0,9.0,12.0,36.0,12.0,12.0,12.0,12.0,12.0
30,70,70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
31,588,588,1008.0,588.0,588.0,588.0,300.0,276.0,324.0,336.0,588.0,240.0,300.0,300.0
32,16,16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
33,117,117,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0
34,279,279,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0
35,504,504,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0
36,821,271,12.0,16.0,239.0,239.0,61.0,271.0,37.0,12.0,3757.0,271.0,271.0,941.0
37,77,77,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,2723.0
38,62,62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,50.0,62.0,62.0,
39,81,69,55.0,69.0,62.0,68.0,62.0,59.0,78.0,60.0,69.0,49.0,65.0,
40,259,4791,22.0,4967.0,4791.0,5.0,4490.0,0.0,,,,259.0,,
41,510,510,510.0,510.0,510.0,510.0,510.0,172.0,1017.0,510.0,510.0,16.0,42.0,78.0
42,204,67,,29.0,,94.0,,,,,,70.0,67.0,
43,60,63,63.0,94.0,94.0,43.0,57.0,63.0,83.0,63.0,87.0,57.0,,
44,735,147,147.0,147.0,147.0,147.0,147.0,89.0,147.0,147.0,969.0,840.0,147.0,147.0
45,468,468,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0
46,49,49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
47,82,82,100.0,82.0,90.0,82.0,82.0,82.0,90.0,6.0,256.0,90.0,82.0,90.0
48,106,106,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
49,336,336,336.0,336.0,336.0,336.0,342.0,360.0,336.0,360.0,360.0,336.0,336.0,180.0
50,293,293,293.0,293.0,293.0,293.0,293.0,293.0,1469.0,293.0,293.0,73.0,293.0,
51,237,237,237.0,237.0,237.0,237.0,237.0,237.0,60671.0,60671.0,60671.0,60670.0,237.0,60671.0
52,610,600,610.0,600.0,600.0,610.0,220.0,610.0,600.0,610.0,600.0,600.0,600.0,609.0
53,149,149,150.0,150.0,150.0,149.0,149.0,150.0,149.0,149.0,149.0,149.0,150.0,149.0
54,907,907,907.0,907.0,907.0,907.0,907.0,907.0,907.0,907.0,934.0,907.0,414.0,243.0
55,113,1,1.0,1.0,1.0,65.0,2.0,1665.0,225.0,12.0,12.0,787.0,113.0,1.0
56,19,19,19.0,19.0,135.0,19.0,19.0,19.0,19.0,19.0,135.0,19.0,19.0,19.0
57,248,3,3.0,208.0,3.0,894.0,724.0,3.0,3.0,936.0,,,,
58,104,104,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,169.0,153.0
59,240,188,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,256.0,188.0,,
