id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11
0,1216,1491,1507,1524,1574,1582,1633,1713,1745,1825,2053,2118
1,882,928,1739,1881,3665,3905,4979,5480,7125,7727,8270,10630
2,3035,3940,4288,4331,4401,4625,4756,4979,5013,5159,5243,5572
3,2099,2167,2321,2351,2511,2591,2864,3336,3375,3379,3383,3907
4,5807,6194,13125,13487,14169,14680,16674,18209,19622,21173,23426,23512
5,2548,2949,3345,3936,4101,4604,4644,4995,5082,5385,6042,6264
6,2478,2792,3588,4101,4813,4814,4887,5115,5185,5402,6009,6818
7,3658,6964,7219,11485,12285,13564,14367,15885,16793,17419,18082,18291
8,6918,6955,7012,7338,7742,7888,8755,9217,9381,10254,11752,18048
9,9192,10063,10166,10657,11727,12272,12557,16249,16455,20792,24575,24575
10,14176,14522,14954,15001,15137,16368,16953,18339,19767,21632,21945,22359
11,9274,9670,9943,9966,10079,10624,11494,12205,12333,13682,15519,15534
12,5629,6964,7517,8433,8708,8969,10044,10127,10854,11062,11709,13709
13,5191,6012,6414,6457,7383,9221,11651,13810,14007,15718,17625,24575
14,4983,5690,6466,7136,7527,8075,9047,10678,12037,12655,16446,19784
15,730,928,1026,1038,1199,1252,3120,3686,4062,4697,5308,5339
16,863,1437,1455,1752,1769,1888,2026,2181,2283,4598,5170,6163
17,1723,3892,3902,4400,5085,5681,7346,8297,8787,15498,16245,24575
18,2611,2807,3043,3175,3196,3220,3328,3568,3649,3693,3871,4263
19,5319,8142,8931,10971,11779,12284,13435,15939,16296,16732,17468,18867
20,2256,2410,2437,2575,2577,2737,2775,2857,3194,3229,3689,4496
21,5863,5929,6001,7353,8151,9911,10188,10212,12129,14298,14545,14820
22,14448,16032,16067,16174,16709,19400,19422,19508,19620,24084,24575,24575
23,9670,12256,13065,14767,15152,16091,16111,16222,17043,19826,19881,21579
24,4572,5128,5307,5765,6055,6443,7046,7731,7771,12203,24575,24575
25,5061,7207,11689,13415,14465,16493,18321,20486,20646,20873,22339,23966
26,4613,4768,5804,6355,7068,7584,8511,10226,10497,10525,15126,18359
27,3945,4007,4648,5076,5794,6322,6760,6962,7379,7433,7538,15414
28,11908,12644,13320,15559,15681,20129,21121,21543,21866,24575,24575,24575
29,12013,12069,12415,14170,14772,15158,15294,16211,16397,16663,18376,18527
30,946,972,1140,1170,1175,1316,1520,2224,2624,2874,2886,3622
31,7465,9109,10586,11685,11738,11865,12005,12371,13608,13836,16563,17012
32,2614,3031,3266,3513,3557,3716,4530,4548,4712,5264,5342,7976
33,3576,4006,4246,4287,4548,4874,5124,5145,5538,5697,6564,7050
34,6190,6503,7055,7130,7606,7664,7768,8316,9387,11185,11480,24575
35,2752,2824,2992,3030,3205,3213,3405,3474,3518,3679,3732,3929
36,5692,7161,9206,9721,9991,10052,10391,10859,11465,12823,15068,18562
37,3093,3145,3146,3152,3343,3434,3441,3724,3724,4262,5472,7946
38,8699,9745,13079,19135,20556,21220,24464,24575,24575,24575,24575,24575
39,12392,13896,14536,14711,14794,15459,16687,16739,16934,17598,17612,17751
40,18682,19692,20463,21310,22529,24575,24575,24575,24575,24575,24575,24575
41,7785,10522,12193,12762,13786,14219,14441,14858,16105,16181,17735,18749
42,11596,11780,13217,13553,13849,15294,15692,16424,17871,18738,19749,22076
43,10726,13868,14802,14990,15739,16044,17539,18712,18760,19298,19327,20215
44,7595,11755,12426,12622,12768,13900,14308,14868,15182,15408,16296,19481
45,2543,2749,2913,3011,3127,3222,3230,3387,3574,3801,4284,4327
46,1050,1275,2474,2494,2621,2725,3004,3049,3102,3533,3558,4341
47,11838,12197,12336,13516,14289,15352,16398,17319,17793,18779,18852,19069
48,3238,3584,3614,3704,4096,4275,4312,4353,4413,5005,5587,9984
49,13170,13534,15100,15402,15471,15480,17062,17249,17820,19184,20203,21079
50,6160,6440,7018,9140,9722,10459,10819,21093,23852,24322,24575,24575
51,5017,5773,5892,7263,7641,8027,8103,8289,9782,10191,10746,15548
52,9140,10511,11403,11622,11765,11943,12224,12541,12710,12725,14807,19543
53,5350,5530,5830,5963,7475,7582,7773,7870,8110,8684,8928,10834
54,6111,6122,6253,6840,7394,8372,8861,9244,10744,10824,11583,14527
55,7785,8742,10962,11074,12595,15071,15232,15983,16912,17334,18017,20722
56,8117,8546,8703,11044,11858,12385,14054,15303,17758,19294,21471,23826
57,13336,13416,14787,17729,18299,18942,19919,22400,24073,24575,24575,24575
58,10087,10871,11601,11945,12079,12521,12567,17408,20379,21389,21666,24575
59,13772,13774,17943,18379,18871,19708,20742,20796,23420,23830,24575,24575
