id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,1135,1297,1317,1490,1492,1598,1670,1679,1702,1704,1706,1708,1764,1784,1858,1904,1956,1975,1978,2085,2109,2166,2338,3318
1,749,814,990,998,1080,1166,1334,2434,3191,3968,4259,4325,4917,5688,5874,6149,6227,6407,6765,8033,9661,10304,10464,11536
2,3024,3188,3409,3487,3577,3771,3867,4049,4049,4049,4087,4126,4312,4375,4418,4428,4441,4604,4919,5290,5435,5633,5855,7202
3,2168,2561,2719,2763,2837,2869,2927,2983,3047,3105,3143,3237,3238,3431,3495,3551,3585,3693,3735,4013,4083,4298,4405,4605
4,11344,12815,13100,13496,15673,15685,15823,16168,16472,16485,18741,19937,20118,21408,21995,22004,22601,23030,24138,24573,24573,24573,24573,24573
5,2183,2408,2615,2774,2829,2847,2940,3014,3047,3098,3492,3600,3635,4104,4299,4348,4755,4855,4969,5106,5372,8716,9700,12783
6,2464,2781,2880,2900,3211,3257,3305,3617,3727,3923,3956,4177,4554,4564,4835,4920,5018,5168,5924,6292,6514,6794,7256,9341
7,7246,8048,10705,14797,16815,17344,17838,18192,18856,19322,20185,20240,20458,21657,22232,22777,23150,23303,24450,24573,24573,24573,24573,24573
8,4229,5785,6442,6464,6611,6617,6728,6799,7038,7454,7562,7895,7931,8059,8487,9206,9309,10242,10863,10916,13642,15480,16516,22764
9,8115,9836,11615,11625,12582,13821,15023,15756,15774,16233,18673,22397,22488,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573
10,9757,14242,15446,16152,16614,17550,17754,17938,18655,19379,19521,20483,20959,21379,21683,21709,22250,22472,23872,24191,24573,24573,24573,24573
11,7138,8902,9519,9677,10156,11846,12016,12835,12943,13059,13645,13736,14498,14548,14719,14966,16125,16255,16314,16904,17197,18896,19657,22924
12,5252,5623,6173,6260,6638,6711,6895,6910,7701,7985,8116,8288,8301,8840,8855,8941,9449,11950,12567,12640,14669,18449,20226,24573
13,4787,4948,5356,6068,6487,6593,8103,9869,10065,10160,14785,16356,18678,18860,24166,24573,24573,24573,24573,24573,24573,24573,24573,24573
14,4176,4190,4561,4875,5237,6139,6634,6890,7199,7452,8216,8477,8693,9187,9373,9414,10457,11612,11612,16025,16101,22414,24573,24573
15,2340,2458,2677,2688,2912,3090,4679,4706,4974,5227,5443,6203,7035,7099,8015,8523,9753,10753,14369,15443,16483,17543,17638,20899
16,962,1033,1049,1073,1217,1233,1383,1432,1587,1605,1620,1748,1932,1941,2340,2626,2886,5435,6387,7741,12356,13034,18104,18554
17,3645,4421,4661,4764,4896,5072,5236,5405,5431,5440,5486,5503,5799,5811,5903,7873,8694,8857,9927,13274,15611,16118,19750,24573
18,1601,1739,2181,2201,2348,2407,2480,2525,2649,2673,2780,2796,3050,3166,3208,3210,3277,3372,3466,3484,3621,3825,4490,6558
19,5657,9968,10761,11188,13807,14270,14477,14502,14557,14635,15602,16638,18565,18650,19449,19674,19776,21401,21472,21494,21825,23098,23422,24573
20,2495,2583,2715,2870,3070,3283,3340,3569,3810,3888,3956,3998,4146,4380,4541,6189,6744,7023,8266,14119,17649,21155,23379,24573
21,5796,8125,9240,10679,11526,11694,11713,11821,12706,15234,15519,17180,17257,18981,19636,20577,21994,23284,24573,24573,24573,24570,24573,24573
22,14917,15219,15658,16414,18497,18512,19221,19481,19694,19695,20260,22523,22640,24303,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573
23,3993,6546,9158,9781,10592,11610,12148,12728,13165,14060,14199,14853,15025,15733,16027,16961,17296,17694,17817,19109,19736,20279,21703,24573
24,4540,4891,5095,5383,5639,5642,5856,5879,6038,6415,6435,6493,6715,8047,8245,8661,10967,11828,15121,15610,18489,21564,24573,24573
25,6753,8028,9120,9643,9912,10552,10611,10644,10676,11033,12243,13795,15728,15960,16097,19390,21484,21689,22098,23225,24573,24573,24573,24573
26,3282,4142,4718,4789,5725,5943,6244,6966,7474,7920,8411,11130,11201,11459,12249,12759,13523,17218,18313,22008,23730,24573,24573,24573
27,3615,3937,4100,4461,4872,4972,5150,5446,5487,5592,5610,5739,5746,6002,6143,6666,6797,6959,7037,7289,7476,7825,7898,8647
28,13677,14182,15645,16277,18171,19336,19407,20044,20590,21165,22723,23228,23291,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573
29,8352,9783,10090,10928,11896,12063,14211,14378,15488,15927,15966,15966,16607,16777,17030,17706,17862,17951,18356,18405,19045,19480,19655,20248
30,1553,1863,1865,2019,2098,2140,2152,2170,2177,2242,2304,2372,2695,2726,2790,2799,2848,2969,3467,3508,3676,4064,4267,4358
31,4918,5428,6828,6885,7300,8352,8394,8850,9720,9798,9950,10224,10379,10547,11723,11802,12135,13409,13680,13716,14063,14486,16013,17250
32,2661,3256,3272,3326,3448,3555,3607,3815,3890,3891,3911,3948,4115,4166,4231,4381,4385,4877,5180,5679,6558,6565,7051,10566
33,3779,3843,4083,4134,4184,4237,4248,4281,4449,4581,4738,5023,5151,5253,5290,5448,5448,5557,6378,6805,6907,7084,7507,7711
34,4802,5247,5640,6227,6309,6660,7178,7519,7908,8358,8421,8483,8563,8946,9302,10300,10329,12348,12922,13627,16081,16296,16620,24573
35,1396,2431,2466,2493,2749,2794,2830,2866,2878,2988,3067,3113,3114,3260,3378,3399,3483,3572,3691,3725,3851,4149,4222,4473
36,3636,3880,4840,5296,5326,5637,6050,6597,8483,8609,9472,9881,10331,10538,10764,11046,11640,11690,12160,15131,16725,19515,20797,21945
37,2845,2857,2961,3055,3076,3083,3130,3214,3234,3392,3411,3424,3597,3746,3761,3918,4029,4057,4338,4798,4890,7742,10239,12496
38,7994,10407,11734,11794,18095,18383,19984,21409,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573
39,11636,11762,12740,12863,13116,14508,14829,15024,15297,15399,15404,15511,15778,15871,15972,16350,16692,16777,16994,17295,17499,19714,20948,23326
40,18004,19909,22750,23802,24131,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573
41,9050,10830,11544,12619,13778,13926,14670,15580,15985,16162,16445,17380,18654,19171,23264,24556,24573,24573,24573,24573,24573,24572,24573,24573
42,4689,4978,4994,5012,6527,6792,7846,8442,10328,12020,13479,14257,14742,15212,15834,16054,16717,16765,16784,17016,17554,17925,20600,24573
43,11136,14926,15076,15298,17099,17370,17704,17710,18483,19032,19556,20296,20900,21644,23479,24573,24573,24573,24573,24573,24573,24573,24572,24573
44,8334,9037,9065,10724,10870,11017,11545,12129,12732,13507,13771,14014,14618,14668,15600,15740,15921,16266,16372,17403,17701,18933,23989,24313
45,2530,2663,2709,2874,3002,3029,3142,3237,3249,3371,3504,3546,3570,3610,3612,3726,3791,3833,3935,3972,4263,4577,4704,5964
46,892,1023,1086,1091,1121,1130,1620,1816,2017,2116,2193,2221,2264,2289,2375,2528,2625,2694,2777,2898,3105,3142,3342,3520
47,12757,12795,13564,14316,14355,14480,16676,16783,17320,17699,17814,17936,18350,18451,19114,20153,20535,20993,21935,23274,24028,24573,24573,24573
48,3359,3657,3786,3838,3840,3868,3937,3973,4076,4356,4483,4487,4493,4555,4882,5359,5473,5541,5833,6042,6677,6689,12368,15248
49,9590,12483,13372,13869,14194,16053,16482,16625,16855,16946,17945,18052,18113,18971,19818,20390,20529,20535,22215,22578,23943,24573,24573,24573
50,5876,6530,7964,8604,9117,9359,9593,10029,11231,12963,14420,15056,15952,20927,21596,23086,24573,24573,24573,24573,24573,24573,24573,24573
51,4182,4266,5120,5270,5799,6408,6552,6950,7788,8146,9917,10161,10543,10779,11185,11195,12020,12092,13397,16071,18277,18903,20976,23293
52,9059,9588,11222,11748,12155,12159,13382,13693,14915,15873,16838,16856,17535,17751,17919,18522,19471,20888,24259,24573,24573,24573,24573,24573
53,4927,5106,5237,5246,5853,6564,6589,6795,7569,7825,7868,8195,8599,8601,9244,9993,10288,10425,11887,11890,12814,14301,14342,24573
54,5141,6515,6671,6808,6833,7555,7668,8168,8797,9377,9710,9782,10331,11724,13295,13651,13982,14517,16767,17483,17759,19834,20279,21779
55,6554,6879,8726,8729,9503,9752,10450,11481,12032,12498,12857,12957,13122,14048,14089,14285,15042,15605,17282,17394,17588,18998,20157,21834
56,6004,6487,7513,8713,9051,9191,9435,9546,9997,10404,11746,13530,15158,23406,23867,24573,24573,24573,24573,24573,24573,24573,24573,24573
57,7123,10298,15007,15136,18932,20888,20963,21303,22080,22785,24573,24573,24573,24573,24573,24573,24573,24573,24573,24573,24572,24573,24573,24573
58,7228,7772,10005,12405,13464,13474,13645,13941,14525,14734,15127,15208,15473,15619,18086,18207,19284,19349,19750,23025,24573,24574,24573,24573
59,14534,17944,20221,20337,21067,22051,22272,22958,23490,24007,24427,24573,24573,24573,24573,24573,24573,24573,24572,24573,24573,24573,24573,24573
