id,answer,consensus,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,204,204,204.0,,27.0,228.0,438.0,,204.0,204.0,204.0,204.0,204.0,152.0,195.0,,204.0,204.0,,1055.0,196.0,204.0,232.0,226.0,,155.0
1,25,25,,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
2,809,809,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,808.0,809.0,809.0,809.0
3,116,116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
4,104,104,104.0,104.0,107.0,104.0,33.0,,291.0,59.0,77.0,,291.0,50.0,77.0,107.0,106.0,,,30.0,17.0,84.0,,,,
5,294,294,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0
6,540,540,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
7,197,35,1383.0,273.0,2025.0,287.0,36.0,1157.0,8603.0,6259.0,273.0,962.0,273.0,,34.0,343.0,1028.0,35.0,35.0,35403.0,35.0,36.0,,,,17.0
8,480,480,80.0,480.0,480.0,80.0,480.0,480.0,480.0,80.0,480.0,480.0,480.0,80.0,480.0,960.0,480.0,480.0,80.0,480.0,,880.0,240.0,80.0,96.0,
9,113,113,113.0,113.0,113.0,113.0,113.0,113.0,113.0,2311.0,,113.0,3268.0,12.0,2311.0,51.0,113.0,,,,,39.0,,,,
10,371,9,325.0,9.0,25.0,431.0,213.0,35.0,145.0,383.0,31.0,25.0,115.0,17.0,385.0,419.0,135.0,427.0,,427.0,511.0,163.0,9.0,115.0,133.0,449.0
11,385,16,16.0,16.0,16.0,12.0,16.0,16.0,8.0,6.0,6.0,16.0,48.0,16.0,16.0,16.0,8.0,12.0,16.0,16.0,8.0,8.0,12.0,8.0,8.0,12.0
12,110,110,155.0,110.0,134.0,179.0,110.0,155.0,110.0,110.0,155.0,110.0,155.0,110.0,110.0,110.0,110.0,155.0,110.0,110.0,110.0,6423.0,110.0,134.0,,
13,104,104,104.0,104.0,104.0,236.0,47.0,94.0,288.0,104.0,106.0,47.0,15.0,236.0,47.0,8.0,104.0,113.0,803.0,59.0,236.0,391642.0,67.0,,,
14,721,721,673.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,673.0,4135.0,1837.0,33319.0,,
15,73,73,73.0,73.0,73.0,73.0,73.0,229.0,73.0,151.0,73.0,73.0,73.0,73.0,151.0,234.0,234.0,234.0,229.0,234.0,133.0,229.0,229.0,224.0,85.0,234.0
16,236,236,236.0,236.0,261.0,166.0,201.0,204.0,,91.0,184.0,,349.0,204.0,278.0,236.0,201.0,246.0,219.0,224.0,292.0,246.0,266.0,200.0,491.0,212.0
17,45,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,82.0,36.0,45.0,45.0,45.0,0.0,
18,33,33,35.0,33.0,31.0,13.0,13.0,3.0,,85.0,33.0,59.0,33.0,33.0,23.0,33.0,29.0,33.0,33.0,33.0,19.0,33.0,33.0,33.0,33.0,33.0
19,80,240,20.0,240.0,240.0,100.0,240.0,10.0,80.0,240.0,240.0,240.0,40.0,240.0,100.0,100.0,120.0,60.0,100.0,120.0,120.0,100.0,150.0,120.0,140.0,120.0
20,55,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,66.0,55.0,58.0,55.0,55.0,55.0,58.0,66.0,55.0,55.0,56.0,55.0,65.0,
21,699,699,699.0,573.0,699.0,699.0,629.0,699.0,699.0,573.0,699.0,699.0,699.0,629.0,566.0,56.0,80.0,573.0,602.0,640.0,,,629.0,,,
22,127,7,13.0,86.0,11.0,7.0,5.0,40.0,7.0,73.0,25.0,7.0,7.0,26.0,13.0,7.0,6.0,3.0,9.0,1.0,13.0,88.0,,,,
