id,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,1453,1557,1602,1623,1656,1685,1707,1750,1786,1811,1851,1881,1903,1925,1948,1956,1958,2045,2100,2200,2273,3249,3741,24575
1,815,896,914,924,984,1016,1024,1095,1099,1155,1208,1290,1317,1319,1373,1474,1791,3458,4363,5335,5537,7098,10860,24575
2,3080,3114,3176,3490,3497,3521,3542,3553,3602,3968,3982,4079,4259,4287,4303,4388,4441,4459,4503,4744,4812,5123,7763,11639
3,2333,2367,2460,2596,2692,2831,2836,2872,2926,2949,2954,3086,3162,3205,3236,3397,3423,3581,3605,3616,3648,3913,4243,4365
4,10942,12660,13359,14225,14680,15501,16209,16913,16966,18921,20309,20794,21167,22530,23059,23105,23306,24575,24575,24575,24575,24574,24575,24575
5,1982,2000,2430,2520,2534,2720,3138,3173,3256,3367,3447,3589,3671,3679,3740,3748,3925,4080,4334,4711,4759,4865,5475,6010
6,2620,2708,3020,3418,3442,3587,3599,3724,3818,3843,3889,4040,4117,4131,4381,4474,5011,5041,5116,5290,5378,7098,9065,9188
7,6892,8569,8741,12626,15356,15752,16440,16649,17114,18201,18251,18512,18972,19026,19132,19533,19948,20310,20450,22133,22464,24091,24575,24575
8,4785,5089,5370,5579,6035,6088,7159,7512,7529,7545,7612,7699,7805,7973,8258,8311,8334,8918,9691,10448,14843,18488,18704,22841
9,7292,9156,9771,10451,11202,12405,13303,14339,14986,17598,18115,19126,19771,19895,21376,21380,22324,23832,24575,24575,24575,24575,24575,24575
10,6396,9991,11371,11515,11768,12495,12819,14353,14422,14584,15156,15725,15908,16251,16697,16885,17408,17489,17594,18145,18316,19232,21242,21940
11,9701,10081,10643,11138,11561,12082,12643,12653,12929,12978,13087,13631,14288,14646,15494,15800,16798,16925,17187,18187,18423,18917,24575,24575
12,5671,6183,6256,6549,7199,7221,7347,8284,8640,8663,9179,10178,10215,10543,11162,12262,12334,14136,15448,21254,23259,23346,24575,24575
13,5128,5185,5339,5952,6408,6900,7198,7700,7883,8156,8532,9342,9810,9819,10585,12921,13265,14670,15059,18363,19181,19221,24575,24575
14,4994,5013,5036,5120,5440,5933,6471,7092,8280,8299,8327,8527,10218,10791,10856,11403,11614,11961,12657,14802,18551,24274,24462,24575
15,1650,1768,2544,4395,4464,4821,5161,5588,5857,6250,7668,7866,8043,8077,9662,11801,12170,13202,13214,14915,15747,16000,24575,24575
16,1037,1155,1213,1336,1357,1359,1376,1458,1459,1518,1596,1699,1702,1738,1797,2044,2082,2536,2954,4562,6741,7954,13200,24575
17,3811,3954,4724,4837,4892,5013,5043,5400,5540,5555,6046,6379,6560,7986,8001,8810,10251,10393,10683,10806,11991,12073,19190,22465
18,1721,1857,1990,1991,1996,2021,2163,2168,2248,2258,2322,2345,2542,2544,2852,2905,2977,3035,3127,3421,3508,3542,3875,4679
19,6506,7737,9974,10262,10584,11039,12033,12426,12551,12805,12966,15534,16816,16985,17573,18336,18523,19089,19197,19311,19381,21765,22529,24019
