id,answer,consensus,try 0,try 1,try 2,try 3,try 4,try 5,try 6,try 7,try 8,try 9,try 10,try 11,try 12,try 13,try 14,try 15,try 16,try 17,try 18,try 19,try 20,try 21,try 22,try 23
0,204,204,204.0,240.0,204.0,204.0,204.0,,198.0,204.0,204.0,,204.0,214.0,204.0,228.0,214.0,214.0,204.0,204.0,,,204.0,204.0,,
1,25,25,25.0,125.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,50.0,225.0,,25.0,25.0,100.0,25.0,25.0,25.0,25.0,25.0,25.0,
2,809,809,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,809.0,808.0,809.0,809.0,809.0,808.0,809.0,809.0,809.0,808.0,809.0,808.0,809.0,809.0,809.0
3,116,116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0
4,104,291,107.0,291.0,184.0,291.0,291.0,,199.0,174.0,,108.0,213.0,25.0,,167.0,96.0,,291.0,,17.0,,,,,
5,294,294,294.0,810.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0,294.0
6,540,540,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
7,197,36,15625.0,35.0,197.0,340037.0,273.0,68851.0,36.0,36.0,36.0,35.0,69.0,2026.0,197.0,1189.0,34.0,5.0,2033.0,172.0,8636.0,8854.0,19867.0,1157.0,1963.0,
8,480,480,480.0,480.0,480.0,80.0,480.0,480.0,480.0,480.0,480.0,5280.0,80.0,480.0,480.0,480.0,480.0,20.0,480.0,480.0,480.0,480.0,480.0,,480.0,
9,113,113,31.0,113.0,113.0,336.0,263.0,113.0,1381.0,113.0,113.0,3268.0,113.0,104441.0,6391.0,113.0,109.0,713.0,22.0,347.0,,,,,,
10,371,213,349.0,431.0,73.0,69.0,131.0,191.0,355.0,31.0,411.0,419.0,3969.0,27.0,205.0,23.0,137.0,9.0,75.0,163.0,213.0,697.0,213.0,255.0,383.0,265.0
11,385,12,12.0,16.0,12.0,10.0,4.0,16.0,16.0,4.0,24.0,12.0,6.0,24.0,8.0,6.0,16.0,8.0,19.0,5.0,1.0,1.0,12.0,4.0,,
12,110,110,110.0,110.0,155.0,134.0,110.0,110.0,134.0,110.0,155.0,134.0,110.0,110.0,110.0,110.0,110.0,134.0,776.0,155.0,110.0,11.0,12.0,2.0,,
13,104,104,104.0,104.0,104.0,236.0,104.0,47.0,104.0,104.0,425.0,104.0,215.0,104.0,6.0,236.0,236.0,104.0,138.0,928.0,252.0,236.0,215.0,104.0,,30.0
14,721,721,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,721.0,673.0,721.0,129.0,721.0,721.0,689.0,721.0,721.0,4811.0,16.0,30155.0,
15,73,73,15.0,437.0,73.0,73.0,73.0,73.0,73.0,73.0,229.0,156.0,73.0,151.0,73.0,73.0,229.0,229.0,73.0,229.0,234.0,34.0,73.0,229.0,,
16,236,236,246.0,236.0,224.0,473.0,342.0,102.0,146.0,278.0,128.0,368.0,248.0,121.0,,201.0,217.0,200.0,235.0,90.0,110.0,236.0,303.0,,249.0,
17,45,45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,9.0,45.0,45.0,45.0,45.0,45.0,45.0,9.0,45.0,45.0,45.0,45.0,45.0,45.0,0.0
18,33,33,41.0,2.0,71.0,91.0,25.0,33.0,187.0,33.0,25.0,33.0,33.0,73.0,23.0,21.0,43.0,33.0,85.0,115.0,33.0,33.0,33.0,33.0,33.0,33.0
19,80,100,80.0,40.0,20.0,60.0,80.0,100.0,80.0,240.0,40.0,100.0,40.0,100.0,100.0,150.0,80.0,100.0,70.0,100.0,120.0,120.0,80.0,80.0,120.0,
20,55,55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,49.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
